	target	TO_8_S8	TO_4_S4	TO_3_S3	TO_7_S7	TO_2_S2	TO_6_S6	TO_5_S5	TO_1_S1	TO_9_S9
OXCT1_-_41870442.23-P1P2|OXCT1_+_41870453.23-P1P2++OXCT1_-_41870442.23-P1P2|OXCT1_+_41870453.23-P1P2	OXCT1	462	516	768	680	3782	404	644	1388	362
LPP_-_187943294.23-ENST00000543006.1|LPP_-_187943426.23-ENST00000543006.1++LPP_-_187943294.23-ENST00000543006.1|LPP_-_187943426.23-ENST00000543006.1	LPP	1598	1264	558	1482	2308	980	1408	896	1070
TTC34_+_2706192.23-ENST00000401095.3|TTC34_+_2706195.23-ENST00000401095.3++TTC34_+_2706192.23-ENST00000401095.3|TTC34_+_2706195.23-ENST00000401095.3	TTC34	1238	1222	434	1308	1950	790	822	548	714
PSMA4_-_78832818.23-P1P2|PSMA4_+_78833014.23-P1P2++PSMA4_-_78832818.23-P1P2|PSMA4_+_78833014.23-P1P2	PSMA4	12	10	130	32	646	22	28	232	10
HDGFL1_+_22569822.23-P1P2|HDGFL1_-_22569817.23-P1P2++HDGFL1_+_22569822.23-P1P2|HDGFL1_-_22569817.23-P1P2	HDGFL1	666	382	176	504	980	416	418	334	296
MLANA_+_5897821.23-P2|MLANA_-_5897657.23-P2++MLANA_+_5897821.23-P2|MLANA_-_5897657.23-P2	MLANA	1830	1896	634	1854	2880	1308	1818	988	1076
AKT2_+_40791298.23-P1P2|AKT2_-_40791096.23-P1P2++AKT2_+_40791298.23-P1P2|AKT2_-_40791096.23-P1P2	AKT2	990	774	482	908	2532	718	758	732	588
KDELC1_+_103451309.23-P1P2|KDELC1_-_103451327.23-P1P2++KDELC1_+_103451309.23-P1P2|KDELC1_-_103451327.23-P1P2	KDELC1	254	266	80	202	276	68	200	168	120
GMPR2_-_24702203.23-P1P2|GMPR2_+_24702140.23-P1P2++GMPR2_-_24702203.23-P1P2|GMPR2_+_24702140.23-P1P2	GMPR2	754	538	396	794	2148	560	646	678	492
LRRN1_-_3841156.23-P1P2|LRRN1_-_3841165.23-P1P2++LRRN1_-_3841156.23-P1P2|LRRN1_-_3841165.23-P1P2	LRRN1	2962	2032	940	2008	3716	1866	1742	1254	1450
ZNF24_+_32924385.23-P1P2|ZNF24_-_32924370.23-P1P2++ZNF24_+_32924385.23-P1P2|ZNF24_-_32924370.23-P1P2	ZNF24	1006	788	374	600	1762	838	774	614	636
TTC17_+_43380543.23-P1P2|TTC17_+_43380530.23-P1P2++TTC17_+_43380543.23-P1P2|TTC17_+_43380530.23-P1P2	TTC17	1236	1120	494	1266	2126	810	1090	708	928
MCM5_-_35796550.23-P1P2|MCM5_-_35796201.23-P1P2++MCM5_-_35796550.23-P1P2|MCM5_-_35796201.23-P1P2	MCM5	26	32	362	40	1616	34	22	502	10
FAM217B_-_58508872.23-P2|FAM217B_-_58508884.23-P2++FAM217B_-_58508872.23-P2|FAM217B_-_58508884.23-P2	FAM217B	874	610	376	792	1406	492	710	474	418
FRAS1_-_78978538.23-P1P2|FRAS1_-_78978533.23-P1P2++FRAS1_-_78978538.23-P1P2|FRAS1_-_78978533.23-P1P2	FRAS1	1264	1142	472	1428	2244	974	942	692	864
ARHGEF12_+_120207088.23-P1P2|ARHGEF12_+_120207116.23-P1P2++ARHGEF12_+_120207088.23-P1P2|ARHGEF12_+_120207116.23-P1P2	ARHGEF12	4370	3900	1792	5128	7160	3304	3718	2718	2700
RBP2_-_139195371.23-P1|RBP2_+_139195291.23-P1++RBP2_-_139195371.23-P1|RBP2_+_139195291.23-P1	RBP2	1292	1182	488	1144	2078	954	1006	742	664
OTUD7B_-_149982413.23-P1P2|OTUD7B_+_149982622.23-P1P2++OTUD7B_-_149982413.23-P1P2|OTUD7B_+_149982622.23-P1P2	OTUD7B	1776	1600	730	1546	2376	1266	1320	962	982
CALCRL_-_188312944.23-P1P2|CALCRL_-_188312901.23-P1P2++CALCRL_-_188312944.23-P1P2|CALCRL_-_188312901.23-P1P2	CALCRL	966	968	398	844	1594	774	742	598	688
CORO1B_-_67210879.23-P1|CORO1B_-_67210919.23-P1++CORO1B_-_67210879.23-P1|CORO1B_-_67210919.23-P1	CORO1B	5384	4256	2270	4936	8164	3734	4012	3136	2962
TNFRSF11B_-_119964083.23-P1P2|TNFRSF11B_-_119964097.23-P1P2++TNFRSF11B_-_119964083.23-P1P2|TNFRSF11B_-_119964097.23-P1P2	TNFRSF11B	1128	862	460	1082	1722	726	704	640	876
ACCSL_-_44069582.23-ENST00000378832.1|ACCSL_+_44069616.23-ENST00000378832.1++ACCSL_-_44069582.23-ENST00000378832.1|ACCSL_+_44069616.23-ENST00000378832.1	ACCSL	1428	1406	534	1348	2168	906	1386	882	940
HRG_-_186383910.23-P1|HRG_+_186383880.23-P1++HRG_-_186383910.23-P1|HRG_+_186383880.23-P1	HRG	1392	1104	416	1032	1716	846	806	550	650
ROM1_-_62379366.23-P1P2|ROM1_-_62379334.23-P1P2++ROM1_-_62379366.23-P1P2|ROM1_-_62379334.23-P1P2	ROM1	1738	1604	700	1540	2576	1150	1464	860	978
CDKAL1_-_20534759.23-P1P2|CDKAL1_-_20534756.23-P1P2++CDKAL1_-_20534759.23-P1P2|CDKAL1_-_20534756.23-P1P2	CDKAL1	1896	1600	808	1828	2738	1140	1406	982	1038
RNF20_+_104296142.23-P1P2|RNF20_+_104296191.23-P1P2++RNF20_+_104296142.23-P1P2|RNF20_+_104296191.23-P1P2	RNF20	36	28	458	56	1694	40	24	528	36
JPH1_+_75233780.23-P1P2|JPH1_+_75233788.23-P1P2++JPH1_+_75233780.23-P1P2|JPH1_+_75233788.23-P1P2	JPH1	534	486	312	530	922	362	374	284	452
RFC1_+_39367944.23-P1P2|RFC1_+_39367769.23-P1P2++RFC1_+_39367944.23-P1P2|RFC1_+_39367769.23-P1P2	RFC1	6	54	166	26	840	22	50	270	18
LOC554223_+_29760031.23-P1P2|LOC554223_+_29760024.23-P1P2++LOC554223_+_29760031.23-P1P2|LOC554223_+_29760024.23-P1P2	LOC554223	1080	1070	554	1286	2316	836	874	726	892
ZNF683_-_26697258.23-P1P2|ZNF683_+_26697159.23-P1P2++ZNF683_-_26697258.23-P1P2|ZNF683_+_26697159.23-P1P2	ZNF683	828	598	550	766	2352	512	692	828	428
LDLRAP1_+_25889329.23-P2|LDLRAP1_+_25889698.23-P2++LDLRAP1_+_25889329.23-P2|LDLRAP1_+_25889698.23-P2	LDLRAP1	594	530	222	670	912	372	566	334	376
PCGF1_+_74734396.23-P1P2|PCGF1_-_74734785.23-P1P2++PCGF1_+_74734396.23-P1P2|PCGF1_-_74734785.23-P1P2	PCGF1	2460	1824	836	2596	3302	1862	2034	1196	1706
NKIRAS1_+_23958323.23-P1P2|NKIRAS1_+_23958410.23-P1P2++NKIRAS1_+_23958323.23-P1P2|NKIRAS1_+_23958410.23-P1P2	NKIRAS1	984	582	354	950	1950	674	664	656	568
non-targeting_03754|non-targeting_02423++non-targeting_03754|non-targeting_02423	non-targeting	1814	1542	574	1696	3216	1132	1348	820	1066
EIF5A_-_7211217.23-P1P2|EIF5A_-_7210932.23-P1P2++EIF5A_-_7211217.23-P1P2|EIF5A_-_7210932.23-P1P2	EIF5A	82	40	760	34	2806	26	66	922	28
NRG4_-_76304566.23-P1P2|NRG4_-_76304562.23-P1P2++NRG4_-_76304566.23-P1P2|NRG4_-_76304562.23-P1P2	NRG4	742	740	280	754	1102	456	692	320	376
C1orf204_+_159824690.23-P1P2|C1orf204_-_159824648.23-P1P2++C1orf204_+_159824690.23-P1P2|C1orf204_-_159824648.23-P1P2	C1orf204	1038	1104	390	1136	1918	726	978	668	798
C11orf24_-_68039374.23-P1P2|C11orf24_-_68039370.23-P1P2++C11orf24_-_68039374.23-P1P2|C11orf24_-_68039370.23-P1P2	C11orf24	960	744	264	832	1172	572	808	532	472
RNF2_+_185014727.23-P1P2|RNF2_+_185014687.23-P1P2++RNF2_+_185014727.23-P1P2|RNF2_+_185014687.23-P1P2	RNF2	1676	1218	772	1320	3168	1064	1218	984	726
CCDC63_+_111284854.23-P1P2|CCDC63_-_111284827.23-P1P2++CCDC63_+_111284854.23-P1P2|CCDC63_-_111284827.23-P1P2	CCDC63	1720	1252	556	1362	2116	1158	908	708	848
CCL7_+_32597300.23-P1P2|CCL7_+_32597316.23-P1P2++CCL7_+_32597300.23-P1P2|CCL7_+_32597316.23-P1P2	CCL7	1466	1226	524	1464	1798	930	1044	674	842
SELO_+_50639509.23-P1P2|SELO_-_50639480.23-P1P2++SELO_+_50639509.23-P1P2|SELO_-_50639480.23-P1P2	SELO	610	770	500	772	2122	568	678	760	454
ENTPD1_-_97515966.23-P1P2|ENTPD1_-_97516215.23-P1P2++ENTPD1_-_97515966.23-P1P2|ENTPD1_-_97516215.23-P1P2	ENTPD1	1432	1234	536	976	2496	848	898	720	770
MCM3AP_+_47706142.23-P1P2|MCM3AP_-_47706135.23-P1P2++MCM3AP_+_47706142.23-P1P2|MCM3AP_-_47706135.23-P1P2	MCM3AP	200	240	306	178	1264	144	140	444	96
PLCH1_-_155462818.23-P1|PLCH1_+_155462611.23-P1++PLCH1_-_155462818.23-P1|PLCH1_+_155462611.23-P1	PLCH1	2318	1486	682	1842	3118	1086	1358	914	1156
C6orf118_+_165722900.23-P1P2|C6orf118_+_165723042.23-P1P2++C6orf118_+_165722900.23-P1P2|C6orf118_+_165723042.23-P1P2	C6orf118	2632	1918	830	1950	3634	1652	1770	1194	1332
TBC1D22B_-_37225592.23-P1P2|TBC1D22B_-_37225569.23-P1P2++TBC1D22B_-_37225592.23-P1P2|TBC1D22B_-_37225569.23-P1P2	TBC1D22B	1366	994	454	1352	2094	802	776	654	762
POLM_-_44122076.23-P1|POLM_-_44122095.23-P1++POLM_-_44122076.23-P1|POLM_-_44122095.23-P1	POLM	1754	1448	760	1896	2792	1294	1452	874	1028
VAC14_-_70835027.23-P1P2|VAC14_+_70835011.23-P1P2++VAC14_-_70835027.23-P1P2|VAC14_+_70835011.23-P1P2	VAC14	342	310	250	344	1190	278	326	332	292
TMED6_+_69385657.23-P1P2|TMED6_-_69385649.23-P1P2++TMED6_+_69385657.23-P1P2|TMED6_-_69385649.23-P1P2	TMED6	1466	1298	678	1770	2548	1268	1622	994	982
TMEM55A_-_92053036.23-P1P2|TMEM55A_+_92053091.23-P1P2++TMEM55A_-_92053036.23-P1P2|TMEM55A_+_92053091.23-P1P2	TMEM55A	442	446	796	476	3384	428	416	1334	330
PCDHB5_-_140515019.23-P1P2|PCDHB5_-_140514902.23-P1P2++PCDHB5_-_140515019.23-P1P2|PCDHB5_-_140514902.23-P1P2	PCDHB5	1204	832	340	1236	1436	814	840	502	696
CCR1_-_46249785.23-P1P2|CCR1_-_46249776.23-P1P2++CCR1_-_46249785.23-P1P2|CCR1_-_46249776.23-P1P2	CCR1	214	318	92	248	530	112	168	98	152
NHP2_-_177580863.23-P1P2|NHP2_+_177580913.23-P1P2++NHP2_-_177580863.23-P1P2|NHP2_+_177580913.23-P1P2	NHP2	16	40	154	38	1116	10	24	334	26
SERPINA6_-_94789611.23-P1P2|SERPINA6_-_94789614.23-P1P2++SERPINA6_-_94789611.23-P1P2|SERPINA6_-_94789614.23-P1P2	SERPINA6	916	736	304	858	1578	590	740	518	400
SF3B5_-_144416509.23-P1P2|SF3B5_+_144416685.23-P1P2++SF3B5_-_144416509.23-P1P2|SF3B5_+_144416685.23-P1P2	SF3B5	6	58	104	30	318	12	2	98	42
LAMA4_+_112575717.23-P1P2|LAMA4_+_112575722.23-P1P2++LAMA4_+_112575717.23-P1P2|LAMA4_+_112575722.23-P1P2	LAMA4	210	224	390	296	2050	190	320	546	138
ARPC4_-_9834808.23-P1P2|ARPC4_-_9834275.23-P1P2++ARPC4_-_9834808.23-P1P2|ARPC4_-_9834275.23-P1P2	ARPC4	536	550	566	762	2620	404	552	766	430
COL11A1_+_103573969.23-P1P2|COL11A1_+_103574053.23-P1P2++COL11A1_+_103573969.23-P1P2|COL11A1_+_103574053.23-P1P2	COL11A1	1328	980	478	1320	2394	1006	886	684	740
LINS_-_101142335.23-P1P2|LINS_-_101142188.23-P1P2++LINS_-_101142335.23-P1P2|LINS_-_101142188.23-P1P2	LINS	466	466	260	718	978	362	438	276	312
DPP7_+_140007398.23-P2|DPP7_+_140007403.23-P2++DPP7_+_140007398.23-P2|DPP7_+_140007403.23-P2	DPP7	1110	1020	326	1158	1746	654	816	610	604
RNF216_+_5821101.23-P1P2|RNF216_+_5821225.23-P1P2++RNF216_+_5821101.23-P1P2|RNF216_+_5821225.23-P1P2	RNF216	1980	1354	674	2052	2930	1252	1596	928	1224
APBB2_+_41216527.23-P1P2|APBB2_+_41216456.23-P1P2++APBB2_+_41216527.23-P1P2|APBB2_+_41216456.23-P1P2	APBB2	1216	612	360	680	1536	802	692	554	552
ZNF750_-_80797843.23-P1P2|ZNF750_+_80797828.23-P1P2++ZNF750_-_80797843.23-P1P2|ZNF750_+_80797828.23-P1P2	ZNF750	590	532	298	570	938	494	514	274	346
DSTN_+_17550778.23-P1P2|DSTN_-_17550792.23-P1P2++DSTN_+_17550778.23-P1P2|DSTN_-_17550792.23-P1P2	DSTN	1458	1234	452	1310	1996	750	972	672	752
PPTC7_+_111021115.23-P1P2|PPTC7_+_111021110.23-P1P2++PPTC7_+_111021115.23-P1P2|PPTC7_+_111021110.23-P1P2	PPTC7	776	756	692	764	2780	556	598	846	494
SLC4A4_-_72053002.23-P1P2|SLC4A4_+_72053066.23-P1P2++SLC4A4_-_72053002.23-P1P2|SLC4A4_+_72053066.23-P1P2	SLC4A4	2070	1414	796	1926	3082	1350	1398	1218	1342
BANP_+_87985113.23-P1P2|BANP_+_87985096.23-P1P2++BANP_+_87985113.23-P1P2|BANP_+_87985096.23-P1P2	BANP	52	88	288	34	1106	64	94	408	26
OR12D3_-_29343022.23-ENST00000396806.3|OR12D3_+_29343014.23-ENST00000396806.3++OR12D3_-_29343022.23-ENST00000396806.3|OR12D3_+_29343014.23-ENST00000396806.3	OR12D3	1598	1152	598	1576	2358	1160	1072	808	1042
CDC25B_+_3777015.23-P1P2|CDC25B_-_3776960.23-P1P2++CDC25B_+_3777015.23-P1P2|CDC25B_-_3776960.23-P1P2	CDC25B	276	182	456	252	1522	210	126	696	194
MRPL39_+_26979780.23-P1P2|MRPL39_+_26979728.23-P1P2++MRPL39_+_26979780.23-P1P2|MRPL39_+_26979728.23-P1P2	MRPL39	242	170	376	258	2090	214	204	522	124
PSMB1_+_170862351.23-P1P2|PSMB1_+_170862342.23-P1P2++PSMB1_+_170862351.23-P1P2|PSMB1_+_170862342.23-P1P2	PSMB1	18	20	60	26	422	6	12	170	26
P4HA3_+_74022643.23-P1P2|P4HA3_+_74022455.23-P1P2++P4HA3_+_74022643.23-P1P2|P4HA3_+_74022455.23-P1P2	P4HA3	1642	1658	756	2046	3212	1340	1620	1218	1152
SH3BGRL3_+_26606638.23-P1P2|SH3BGRL3_-_26606571.23-P1P2++SH3BGRL3_+_26606638.23-P1P2|SH3BGRL3_-_26606571.23-P1P2	SH3BGRL3	1534	1126	508	884	1770	688	784	626	708
ZNF511_-_135122093.23-P1P2|ZNF511_+_135122180.23-P1P2++ZNF511_-_135122093.23-P1P2|ZNF511_+_135122180.23-P1P2	ZNF511	84	28	244	46	906	28	60	324	42
LOC729159_-_60393648.23-NM_001282301|LOC729159_-_60393447.23-NM_001282301++LOC729159_-_60393648.23-NM_001282301|LOC729159_-_60393447.23-NM_001282301	LOC729159	1298	966	458	992	1604	826	734	538	692
SEC24D_+_119757222.23-P1P2|SEC24D_+_119757230.23-P1P2++SEC24D_+_119757222.23-P1P2|SEC24D_+_119757230.23-P1P2	SEC24D	1164	736	332	842	1752	618	574	544	638
ST6GALNAC3_+_76540759.23-P1P2|ST6GALNAC3_-_76540452.23-P1P2++ST6GALNAC3_+_76540759.23-P1P2|ST6GALNAC3_-_76540452.23-P1P2	ST6GALNAC3	1474	1434	608	1564	2374	1058	1076	820	898
THBS2_-_169653878.23-P1P2|THBS2_-_169653932.23-P1P2++THBS2_-_169653878.23-P1P2|THBS2_-_169653932.23-P1P2	THBS2	2006	1888	708	1808	3280	1222	1244	1224	1370
SLC25A33_+_9599514.23-P1P2|SLC25A33_-_9599506.23-P1P2++SLC25A33_+_9599514.23-P1P2|SLC25A33_-_9599506.23-P1P2	SLC25A33	1102	878	314	1194	1786	814	804	606	868
non-targeting_02214|non-targeting_03351++non-targeting_02214|non-targeting_03351	non-targeting	1232	884	280	808	1302	502	680	610	530
SLC5A12_+_26743512.23-P1P2|SLC5A12_-_26743483.23-P1P2++SLC5A12_+_26743512.23-P1P2|SLC5A12_-_26743483.23-P1P2	SLC5A12	1196	716	386	900	1388	632	782	618	626
SLC13A4_+_135412894.23-P1P2|SLC13A4_-_135412828.23-P1P2++SLC13A4_+_135412894.23-P1P2|SLC13A4_-_135412828.23-P1P2	SLC13A4	1014	490	338	734	892	530	574	392	468
IDUA_-_980829.23-P1P2|IDUA_+_981085.23-P1P2++IDUA_-_980829.23-P1P2|IDUA_+_981085.23-P1P2	IDUA	1258	1096	510	1156	1726	802	906	746	720
ATP8A2_-_25946184.23-P1P2|ATP8A2_-_25946360.23-P1P2++ATP8A2_-_25946184.23-P1P2|ATP8A2_-_25946360.23-P1P2	ATP8A2	768	464	250	554	904	584	650	380	366
NIM1_+_43192363.23-P1P2|NIM1_+_43192360.23-P1P2++NIM1_+_43192363.23-P1P2|NIM1_+_43192360.23-P1P2	NIM1	1002	854	314	774	1592	662	766	544	578
PRAMEF22_+_13331923.23-NM_001100631_120|PRAMEF22_-_13331765.23-NM_001100631_120++PRAMEF22_+_13331923.23-NM_001100631_120|PRAMEF22_-_13331765.23-NM_001100631_120	PRAMEF22	490	442	240	426	912	396	418	244	248
KIF5A_+_57944239.23-P1P2|KIF5A_+_57943872.23-P1P2++KIF5A_+_57944239.23-P1P2|KIF5A_+_57943872.23-P1P2	KIF5A	1662	1144	556	1302	2332	872	1146	662	970
CPSF4_-_99036611.23-P1P2|CPSF4_-_99036577.23-P1P2++CPSF4_-_99036611.23-P1P2|CPSF4_-_99036577.23-P1P2	CPSF4	10	8	444	44	1112	18	22	490	14
ATP2B1_+_90102587.23-P1P2|ATP2B1_+_90102595.23-P1P2++ATP2B1_+_90102587.23-P1P2|ATP2B1_+_90102595.23-P1P2	ATP2B1	1140	714	388	1036	1572	940	1040	596	594
C15orf40_+_83680322.23-P1P2|C15orf40_-_83680139.23-P1P2++C15orf40_+_83680322.23-P1P2|C15orf40_-_83680139.23-P1P2	C15orf40	2034	1962	590	1526	2920	1236	1502	920	1088
TRNP1_+_27320231.23-P1P2|TRNP1_+_27320260.23-P1P2++TRNP1_+_27320231.23-P1P2|TRNP1_+_27320260.23-P1P2	TRNP1	1800	1362	592	1430	2466	1086	1340	818	872
IGFL4_+_46544216.23-P1P2|IGFL4_-_46544248.23-P1P2++IGFL4_+_46544216.23-P1P2|IGFL4_-_46544248.23-P1P2	IGFL4	754	618	240	652	1262	580	514	416	370
CPEB1_-_83316370.23-ENST00000568128.1|CPEB1_+_83316438.23-ENST00000568128.1++CPEB1_-_83316370.23-ENST00000568128.1|CPEB1_+_83316438.23-ENST00000568128.1	CPEB1	182	128	692	170	2818	136	132	836	88
SH2D1B_-_162381683.23-P1P2|SH2D1B_+_162381915.23-P1P2++SH2D1B_-_162381683.23-P1P2|SH2D1B_+_162381915.23-P1P2	SH2D1B	2344	1842	660	1872	2824	1074	1558	946	1114
ANKRD50_+_125633644.23-P1P2|ANKRD50_+_125633864.23-P1P2++ANKRD50_+_125633644.23-P1P2|ANKRD50_+_125633864.23-P1P2	ANKRD50	1808	1604	744	1948	2988	1204	1370	946	1190
ILK_-_6625025.23-P1P2|ILK_+_6625020.23-P1P2++ILK_-_6625025.23-P1P2|ILK_+_6625020.23-P1P2	ILK	618	594	444	708	1986	406	496	670	480
SPACA7_-_113030867.23-P1P2|SPACA7_+_113031047.23-P1P2++SPACA7_-_113030867.23-P1P2|SPACA7_+_113031047.23-P1P2	SPACA7	870	722	318	860	1232	588	580	456	514
CCL3_+_34417463.23-P1P2|CCL3_-_34417416.23-P1P2++CCL3_+_34417463.23-P1P2|CCL3_-_34417416.23-P1P2	CCL3	954	976	426	944	1900	816	856	704	692
IRGM_-_150228148.23-P1P2|IRGM_+_150228152.23-P1P2++IRGM_-_150228148.23-P1P2|IRGM_+_150228152.23-P1P2	IRGM	1462	1478	630	1566	2378	1156	1000	728	1020
ASB6_+_132404367.23-P1P2|ASB6_-_132404013.23-P1P2++ASB6_+_132404367.23-P1P2|ASB6_-_132404013.23-P1P2	ASB6	350	362	446	518	1762	306	364	650	242
ZNF782_+_99616756.23-P1P2|ZNF782_-_99616786.23-P1P2++ZNF782_+_99616756.23-P1P2|ZNF782_-_99616786.23-P1P2	ZNF782	1078	738	302	928	1220	654	440	392	624
FCHO2_-_72251889.23-P1P2|FCHO2_+_72252120.23-P1P2++FCHO2_-_72251889.23-P1P2|FCHO2_+_72252120.23-P1P2	FCHO2	646	802	318	826	996	546	594	344	442
SPERT_+_46276448.23-P1P2|SPERT_+_46276470.23-P1P2++SPERT_+_46276448.23-P1P2|SPERT_+_46276470.23-P1P2	SPERT	836	664	262	726	1502	594	524	536	384
C14orf182_-_50459799.23-P1P2|C14orf182_-_50459796.23-P1P2++C14orf182_-_50459799.23-P1P2|C14orf182_-_50459796.23-P1P2	C14orf182	1750	1404	556	1578	2602	1022	1174	924	924
PHLDA2_-_2950633.23-P1P2|PHLDA2_-_2950586.23-P1P2++PHLDA2_-_2950633.23-P1P2|PHLDA2_-_2950586.23-P1P2	PHLDA2	952	1112	410	996	1362	628	890	460	406
ATP8B2_-_154301762.23-P2|ATP8B2_+_154301663.23-P2++ATP8B2_-_154301762.23-P2|ATP8B2_+_154301663.23-P2	ATP8B2	16	26	220	22	1018	12	16	418	14
NXF2_+_101502212.23-ENST00000372757.1|NXF2_-_101502189.23-ENST00000372757.1++NXF2_+_101502212.23-ENST00000372757.1|NXF2_-_101502189.23-ENST00000372757.1	NXF2	1710	1758	408	1592	1894	1170	1382	648	968
NIPSNAP3A_-_107510021.23-P1P2|NIPSNAP3A_-_107510044.23-P1P2++NIPSNAP3A_-_107510021.23-P1P2|NIPSNAP3A_-_107510044.23-P1P2	NIPSNAP3A	762	748	420	880	1460	558	724	510	688
NCK1_+_136581111.23-P1P2|NCK1_-_136581089.23-P1P2++NCK1_+_136581111.23-P1P2|NCK1_-_136581089.23-P1P2	NCK1	1474	1344	544	1622	2788	1092	1216	1002	968
RTP4_-_187086222.23-P1P2|RTP4_+_187086622.23-P1P2++RTP4_-_187086222.23-P1P2|RTP4_+_187086622.23-P1P2	RTP4	1052	1126	420	1170	1550	814	806	658	518
NOL12_+_38082332.23-P1P2|NOL12_+_38082661.23-P1P2++NOL12_+_38082332.23-P1P2|NOL12_+_38082661.23-P1P2	NOL12	30	28	286	42	920	40	22	374	4
TBX3_-_115121988.23-P1P2|TBX3_+_115121947.23-P1P2++TBX3_-_115121988.23-P1P2|TBX3_+_115121947.23-P1P2	TBX3	2682	2038	870	2910	3818	1660	1768	1220	1786
DDX39B_-_31509751.23-P1P2|DDX39B_-_31509769.23-P1P2++DDX39B_-_31509751.23-P1P2|DDX39B_-_31509769.23-P1P2	DDX39B	464	438	508	496	2718	348	350	886	326
CACNA2D1_-_82073236.23-P1P2|CACNA2D1_-_82073246.23-P1P2++CACNA2D1_-_82073236.23-P1P2|CACNA2D1_-_82073246.23-P1P2	CACNA2D1	860	630	292	640	1114	532	524	332	396
PPP1CC_+_111180646.23-P1P2|PPP1CC_+_111180675.23-P1P2++PPP1CC_+_111180646.23-P1P2|PPP1CC_+_111180675.23-P1P2	PPP1CC	234	206	580	338	2184	286	222	734	188
RALGPS1_+_129677108.23-P1P2|RALGPS1_-_129677089.23-P1P2++RALGPS1_+_129677108.23-P1P2|RALGPS1_-_129677089.23-P1P2	RALGPS1	1060	730	420	898	1816	704	848	558	870
DLX4_-_48045961.23-P1P2|DLX4_+_48046167.23-P1P2++DLX4_-_48045961.23-P1P2|DLX4_+_48046167.23-P1P2	DLX4	1508	1328	646	1684	2426	936	1180	760	1036
CRNN_-_152386717.23-P1P2|CRNN_-_152386704.23-P1P2++CRNN_-_152386717.23-P1P2|CRNN_-_152386704.23-P1P2	CRNN	956	956	448	1104	1562	894	632	550	698
FAM160B2_+_21946938.23-P1P2|FAM160B2_+_21946725.23-P1P2++FAM160B2_+_21946938.23-P1P2|FAM160B2_+_21946725.23-P1P2	FAM160B2	348	308	564	284	2352	278	292	792	156
CALB1_-_91095068.23-P1P2|CALB1_-_91095021.23-P1P2++CALB1_-_91095068.23-P1P2|CALB1_-_91095021.23-P1P2	CALB1	1244	874	426	1272	1788	716	970	628	634
OR10Q1_-_57996343.23-ENST00000316770.2|OR10Q1_-_57996144.23-ENST00000316770.2++OR10Q1_-_57996343.23-ENST00000316770.2|OR10Q1_-_57996144.23-ENST00000316770.2	OR10Q1	1006	810	398	938	1396	482	796	470	720
FBXO44_-_11714972.23-P1P2|FBXO44_+_11714976.23-P1P2++FBXO44_-_11714972.23-P1P2|FBXO44_+_11714976.23-P1P2	FBXO44	1344	1152	488	1368	2362	876	1150	718	904
KIAA1429_+_95565668.23-P1P2|KIAA1429_+_95565653.23-P1P2++KIAA1429_+_95565668.23-P1P2|KIAA1429_+_95565653.23-P1P2	KIAA1429	702	598	314	588	1120	488	504	418	564
non-targeting_02734|non-targeting_02732++non-targeting_02734|non-targeting_02732	non-targeting	1478	1084	592	1386	2228	972	1236	668	1040
PTPN18_+_131113855.23-P2|PTPN18_+_131113660.23-P2++PTPN18_+_131113855.23-P2|PTPN18_+_131113660.23-P2	PTPN18	1782	1370	504	1196	2140	948	1180	716	1016
RLF_-_40627087.23-P1P2|RLF_+_40627496.23-P1P2++RLF_-_40627087.23-P1P2|RLF_+_40627496.23-P1P2	RLF	1236	970	458	1346	1930	808	836	612	682
FBXO39_+_6679602.23-P1P2|FBXO39_-_6679585.23-P1P2++FBXO39_+_6679602.23-P1P2|FBXO39_-_6679585.23-P1P2	FBXO39	1828	1498	596	1576	2166	1126	1180	856	1062
OR13J1_+_35870373.23-ENST00000377981.2|OR13J1_-_35870440.23-ENST00000377981.2++OR13J1_+_35870373.23-ENST00000377981.2|OR13J1_-_35870440.23-ENST00000377981.2	OR13J1	1534	1298	654	1862	2544	1046	1486	954	982
ORC6_+_46723646.23-P1P2|ORC6_+_46723615.23-P1P2++ORC6_+_46723646.23-P1P2|ORC6_+_46723615.23-P1P2	ORC6	114	80	462	70	2060	66	74	582	60
ERMP1_+_5832851.23-P1P2|ERMP1_-_5833028.23-P1P2++ERMP1_+_5832851.23-P1P2|ERMP1_-_5833028.23-P1P2	ERMP1	468	616	420	554	1660	352	570	702	344
AIF1_+_31583079.23-P1P2|AIF1_-_31583032.23-P1P2++AIF1_+_31583079.23-P1P2|AIF1_-_31583032.23-P1P2	AIF1	1632	1216	552	1860	2266	1008	1096	722	886
RABEP2_+_28936477.23-P1P2|RABEP2_+_28936533.23-P1P2++RABEP2_+_28936477.23-P1P2|RABEP2_+_28936533.23-P1P2	RABEP2	310	202	702	194	2900	156	168	960	144
FAM71B_+_156593276.23-P1P2|FAM71B_-_156593268.23-P1P2++FAM71B_+_156593276.23-P1P2|FAM71B_-_156593268.23-P1P2	FAM71B	1234	822	306	966	1808	614	758	468	616
EPYC_-_91398747.23-P1P2|EPYC_-_91398680.23-P1P2++EPYC_-_91398747.23-P1P2|EPYC_-_91398680.23-P1P2	EPYC	512	602	242	568	668	302	426	236	248
