	target	TO_8_S8	TO_4_S4	TO_3_S3	TO_7_S7	TO_2_S2	TO_6_S6	TO_5_S5	TO_1_S1	TO_9_S9
CENPC_-_68411108.23-P1P2|CENPC_-_68411111.23-P1P2++CENPC_-_68411108.23-P1P2|CENPC_-_68411111.23-P1P2	CENPC	14	8	278	24	1166	8	24	338	16
CIDEB_+_24780564.23-P2|CIDEB_+_24780552.23-P2++CIDEB_+_24780564.23-P2|CIDEB_+_24780552.23-P2	CIDEB	1868	1560	566	1766	2492	1170	1160	812	1042
DNAJB14_-_100867316.23-P1P2|DNAJB14_+_100867743.23-P1P2++DNAJB14_-_100867316.23-P1P2|DNAJB14_+_100867743.23-P1P2	DNAJB14	1446	1110	370	1282	1974	814	1084	618	700
ADAMTS20_+_43945953.23-P1P2|ADAMTS20_+_43945912.23-P1P2++ADAMTS20_+_43945953.23-P1P2|ADAMTS20_+_43945912.23-P1P2	ADAMTS20	1588	984	478	1164	1684	910	788	616	828
LRRC48_+_17876262.23-P1P2|LRRC48_-_17876217.23-P1P2++LRRC48_+_17876262.23-P1P2|LRRC48_-_17876217.23-P1P2	LRRC48	1400	1088	472	1326	1748	744	914	624	682
KRTAP4-3_-_39324388.23-P1P2|KRTAP4-3_+_39324455.23-P1P2++KRTAP4-3_-_39324388.23-P1P2|KRTAP4-3_+_39324455.23-P1P2	KRTAP4-3	1496	1204	516	1258	2006	930	1174	564	718
IVNS1ABP_+_185286385.23-P1P2|IVNS1ABP_-_185285936.23-P1P2++IVNS1ABP_+_185286385.23-P1P2|IVNS1ABP_-_185285936.23-P1P2	IVNS1ABP	1288	1446	616	1236	2754	1072	990	882	720
RPS29_-_50052902.23-P1|RPS29_-_50052869.23-P1++RPS29_-_50052902.23-P1|RPS29_-_50052869.23-P1	RPS29	4	18	84	16	338	8	10	104	14
CPN2_-_194072037.23-P1P2|CPN2_+_194072001.23-P1P2++CPN2_-_194072037.23-P1P2|CPN2_+_194072001.23-P1P2	CPN2	1746	1228	586	1168	2630	1086	1404	684	1258
TMEM135_+_86749134.23-P1P2|TMEM135_+_86749070.23-P1P2++TMEM135_+_86749134.23-P1P2|TMEM135_+_86749070.23-P1P2	TMEM135	1516	1618	596	1656	2386	1148	1236	964	1004
HOXB3_+_46667575.23-P1P2|HOXB3_+_46667506.23-P1P2++HOXB3_+_46667575.23-P1P2|HOXB3_+_46667506.23-P1P2	HOXB3	1164	1104	472	1210	2172	726	956	636	726
LYL1_+_13213681.23-P1P2|LYL1_+_13213616.23-P1P2++LYL1_+_13213681.23-P1P2|LYL1_+_13213616.23-P1P2	LYL1	830	798	274	852	1242	626	654	360	530
PRKACB_-_84610047.23-ENST00000370685.3|PRKACB_+_84610062.23-ENST00000370685.3++PRKACB_-_84610047.23-ENST00000370685.3|PRKACB_+_84610062.23-ENST00000370685.3	PRKACB	678	644	348	736	1500	556	646	344	550
CLNK_-_10686374.23-P1P2|CLNK_-_10686316.23-P1P2++CLNK_-_10686374.23-P1P2|CLNK_-_10686316.23-P1P2	CLNK	2290	1688	722	1954	2996	1390	1556	1080	1080
CT47A7_-_120090437.23-ENST00000434883.2|CT47A7_-_120090397.23-ENST00000434883.2++CT47A7_-_120090437.23-ENST00000434883.2|CT47A7_-_120090397.23-ENST00000434883.2	CT47A7	1142	972	558	1352	1996	1130	1242	750	1006
FOXN3_-_89883319.23-P2|FOXN3_-_89883517.23-P2++FOXN3_-_89883319.23-P2|FOXN3_-_89883517.23-P2	FOXN3	4222	3556	2182	3772	8204	3224	3228	2858	2550
GPI_+_34856115.23-P1P2|GPI_+_34856096.23-P1P2++GPI_+_34856115.23-P1P2|GPI_+_34856096.23-P1P2	GPI	1162	1166	1300	1322	5760	1144	1146	1742	784
ZDBF2_-_207139655.23-P1P2|ZDBF2_+_207139482.23-P1P2++ZDBF2_-_207139655.23-P1P2|ZDBF2_+_207139482.23-P1P2	ZDBF2	1704	1250	470	1570	2464	884	1128	788	1064
OR2T10_-_248757012.23-ENST00000330500.2|OR2T10_+_248757043.23-ENST00000330500.2++OR2T10_-_248757012.23-ENST00000330500.2|OR2T10_+_248757043.23-ENST00000330500.2	OR2T10	914	814	292	1034	1404	744	904	564	632
non-targeting_02209|non-targeting_02240++non-targeting_02209|non-targeting_02240	non-targeting	1166	800	466	1014	1606	748	798	518	568
TLN1_+_35732116.23-P1P2|TLN1_+_35732111.23-P1P2++TLN1_+_35732116.23-P1P2|TLN1_+_35732111.23-P1P2	TLN1	332	152	324	328	1060	208	216	328	210
CSHL1_-_61988605.23-P1|CSHL1_+_61988478.23-P1++CSHL1_-_61988605.23-P1|CSHL1_+_61988478.23-P1	CSHL1	1488	1100	600	1432	2540	942	982	808	814
OR2T29_+_248722733.23-ENST00000328570.3|OR2T29_-_248722384.23-ENST00000328570.3++OR2T29_+_248722733.23-ENST00000328570.3|OR2T29_-_248722384.23-ENST00000328570.3	OR2T29	1248	864	462	1096	1756	810	938	478	460
non-targeting_03426|non-targeting_02982++non-targeting_03426|non-targeting_02982	non-targeting	1582	1052	570	1192	2386	800	1130	674	694
MRPL52_-_23299346.23-P1P2|MRPL52_-_23299296.23-P1P2++MRPL52_-_23299346.23-P1P2|MRPL52_-_23299296.23-P1P2	MRPL52	272	238	286	174	1498	198	254	490	200
SCN5A_+_38691168.23-P1P2|SCN5A_-_38691148.23-P1P2++SCN5A_+_38691168.23-P1P2|SCN5A_-_38691148.23-P1P2	SCN5A	1142	1050	490	1422	1798	744	878	584	654
BCAT2_+_49314243.23-P1P2|BCAT2_-_49314274.23-P1P2++BCAT2_+_49314243.23-P1P2|BCAT2_-_49314274.23-P1P2	BCAT2	608	416	292	664	1020	452	472	418	470
TRIM4_+_99517091.23-P1P2|TRIM4_-_99517090.23-P1P2++TRIM4_+_99517091.23-P1P2|TRIM4_-_99517090.23-P1P2	TRIM4	824	598	318	700	1364	584	622	504	526
WDYHV1_-_124429467.23-P1P2|WDYHV1_+_124429031.23-P1P2++WDYHV1_-_124429467.23-P1P2|WDYHV1_+_124429031.23-P1P2	WDYHV1	24	26	208	12	622	12	38	200	16
FTCD_+_47562608.23-P2|FTCD_+_47562611.23-P2++FTCD_+_47562608.23-P2|FTCD_+_47562611.23-P2	FTCD	1694	1004	506	1328	2064	816	996	620	808
non-targeting_01631|non-targeting_01014++non-targeting_01631|non-targeting_01014	non-targeting	390	428	498	490	2154	384	448	780	380
