,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
MAD1L1,MAD1L1,-0.2954541305760359,0.008400329330688421,sensitivity_hit,2.07570368730752,-0.0999578149107941,0.44280985264990463,target_non_hit,0.3537827245054165
MAFA,MAFA,0.17049511898878697,0.018652414194870702,resistance_hit,1.7292649491820786,-0.029976399296067175,0.7512642639818489,target_non_hit,0.12420726911925711
MAFG,MAFG,0.26182920133337984,0.006593239663198087,resistance_hit,2.180901137435018,-0.09391827733970655,0.34701689757479975,target_non_hit,0.45964937724134575
MAGEA4,MAGEA4,-0.2600186546780388,0.077000080800292,sensitivity_hit,1.1135088190989137,0.11843397168248397,0.40541646440187346,target_non_hit,0.39209861811541563
MAGEB5,MAGEB5,0.27995315326488274,0.04662864444122523,resistance_hit,1.3313472098994223,-0.018433203051279712,0.8950472348639001,target_non_hit,0.04815404479644427
MAL2,MAL2,-0.19523379574530106,0.03880700850878068,sensitivity_hit,1.41108983415261,0.00890457928203651,0.5046239735050134,target_non_hit,0.2970321210130125
MAN2A1,MAN2A1,0.26318084079656084,0.09446976834665308,resistance_hit,1.0247071495945044,-0.1609993608908112,0.46462849418568375,target_non_hit,0.33289415982173814
MAP2K6,MAP2K6,-0.40840359951639166,0.08552870930025715,sensitivity_hit,1.0678880817883174,-0.2369314545328788,0.3550130793514826,target_non_hit,0.4497556464222632
MAP3K14,MAP3K14,-0.703592558256282,0.0904094901800825,sensitivity_hit,1.0437859797401428,-0.5044118754024195,0.007308862032813263,essential_hit,2.136150236084752
MAP4K3,MAP4K3,-0.20781004424391844,0.012485461785935334,sensitivity_hit,1.9035953902469778,-0.12947538550230794,0.3287251840041984,target_non_hit,0.48316702285757096
MAP4K4,MAP4K4,-0.31984248010274524,0.017632196504950612,sensitivity_hit,1.7536935827341524,0.0007043599727595643,0.5663690440590974,target_non_hit,0.2469004918326104
MAPT,MAPT,0.4036905742943704,0.1191901258016944,resistance_hit,0.9237597218395996,-0.21172606613946776,0.0030360832093492074,essential_hit,2.5176863299880217
MARCKS,MARCKS,0.4067479333729471,0.0818472408969338,resistance_hit,1.0869959562451172,-0.4198002392736037,0.18281388143936284,essential_hit,0.7379908304641839
MARCKSL1,MARCKSL1,-0.2795183097354081,0.0311746479514325,sensitivity_hit,1.506198442215531,0.043004916989557294,0.5072478281280958,target_non_hit,0.29477980379979674
MBNL2,MBNL2,0.27228123027559814,0.02223297614384499,resistance_hit,1.6530023980146522,-0.2236219533469684,0.10829818108951685,target_non_hit,0.9653788374598096
MDFIC,MDFIC,-0.25421597318574357,0.050917071750481005,sensitivity_hit,1.2931365806502662,0.041789369109999676,0.5306979545054112,target_non_hit,0.2751525862894474
MED12,MED12,0.2972364541743646,0.007106813099650403,resistance_hit,2.1483251058123662,-0.14794324970258868,0.06573294722539977,target_non_hit,1.1822168951038834
