,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
FKBPL,FKBPL,-0.2359935162925808,0.03878374203766732,sensitivity_hit,1.4113502904634354,0.15150236189054725,0.08045371340371064,target_non_hit,1.0944539059027754
FNDC1,FNDC1,0.2712287548653327,0.07821077305826793,resistance_hit,1.1067334213964903,-0.24284278841026818,0.023212901939939107,essential_hit,1.6342705632182886
FOSB,FOSB,-0.21248891144108928,0.025075347193729128,sensitivity_hit,1.6007530450163447,0.13175116284492372,0.19646039693872255,target_non_hit,0.7067249828173818
FOXD3,FOXD3,-0.183309022154587,0.006581540401536255,sensitivity_hit,2.1816724483931718,0.07675077145171667,0.1467583587646388,target_non_hit,0.833397153712536
FOXP1,FOXP1,0.16601026399137986,0.0149086140932594,resistance_hit,1.8265627267431805,0.28620168962946185,0.1378385994301669,up_hit,0.8606291483780798
FOXP3,FOXP3,-0.19865747476776066,0.026173674897601456,sensitivity_hit,1.5821352962480508,0.14623398501322113,0.11320691375467792,target_non_hit,0.946127049174102
FRG1,FRG1,-0.24978095664238786,0.014032055399530584,sensitivity_hit,1.8528787093498322,0.11014203917713061,0.19835535346093264,target_non_hit,0.702556073752134
FRMD6,FRMD6,-0.2831443209740427,0.0692046888100271,sensitivity_hit,1.1598644798880893,0.1093452453600694,0.33372233436073573,target_non_hit,0.47661472722281784
FRMPD2,FRMPD2,0.35591394391490433,0.12889458698471223,resistance_hit,0.8897653207539039,-0.15028399861273764,0.41376460468747317,target_non_hit,0.38324666361323234
FTH1,FTH1,0.1944400503029279,0.008806676111186067,resistance_hit,2.0551879756916693,0.019848658599634916,0.763779058217239,target_non_hit,0.11703225356335308
FUT1,FUT1,0.505034496008158,0.18059389622052827,resistance_hit,0.7432969322204079,-0.46450277824355,0.1536824878989383,essential_hit,0.8133756174850232
FZD4,FZD4,-0.20676544503064065,0.02666396842600308,sensitivity_hit,1.5740752136147314,0.14028011514257224,0.009374145236543854,up_hit,2.028068322104379
GADD45B,GADD45B,0.38047582723456524,0.0026367836797724867,resistance_hit,2.578925498016461,-0.2280554842428275,0.0033313531497689217,essential_hit,2.4773793262201496
GAL3ST1,GAL3ST1,0.25264414324583456,0.02028632000585826,resistance_hit,1.692796728033163,-0.0003035320224326436,0.9461939573189564,target_non_hit,0.024019829814628434
GAS7,GAS7,-0.24108158809213057,0.0019089801026185647,sensitivity_hit,2.719198598252743,0.11531236153353171,0.3444391499542881,target_non_hit,0.4628874912404662
GATA5,GATA5,0.3056566562259035,0.10908652477019437,resistance_hit,0.9622288935857021,-0.30735139501892544,0.08058149668514275,essential_hit,1.0937646704787631
GATC,GATC,0.2548463391408579,0.00037645709540550806,resistance_hit,3.4242845129304915,-0.1942432538723485,0.02564492074218849,essential_hit,1.590998638820235
GBP5,GBP5,-0.1914456558776084,0.020737977340825293,sensitivity_hit,1.6832336043864842,0.16497615579995806,0.30348138851926576,target_non_hit,0.5178679375746383
GBX1,GBX1,-0.1643616658127612,0.01964696419917646,sensitivity_hit,1.7067045462249912,0.058429000720094194,0.22310685105282943,target_non_hit,0.6514870934151518
GCHFR,GCHFR,-0.2396763281045121,0.07013087028171268,sensitivity_hit,1.1540907717357478,-0.032909079525312634,0.9200029881359559,target_non_hit,0.03621076207960849
GCSAM,GCSAM,-0.3267209037543246,0.08084963662262946,sensitivity_hit,1.0923219276826452,0.12984563200359714,0.17739666538829163,target_non_hit,0.7510545480729252
GDNF-AS1,GDNF-AS1,0.18768468491445015,0.015388485087057922,resistance_hit,1.8128041320018216,0.021377498222702407,0.30036602804253787,target_non_hit,0.5223491884054752
GGTLC1,GGTLC1,-0.19182085641605026,0.006398070543070539,sensitivity_hit,2.193950975834066,0.240328506364022,0.024909383724468596,up_hit,1.6036370170790477
GID8,GID8,-0.12640073335832577,0.0037345926791905793,sensitivity_hit,2.427756758460729,0.012233310136063066,0.8459045389043809,target_non_hit,0.07267864472253098
GINS3,GINS3,-0.24767467287482278,0.08359165701167875,sensitivity_hit,1.0778370657978205,0.09892317179971795,0.2664294441433482,target_non_hit,0.5744177812946778
