	target	i02	i08	i14	i15	i06	i16	i11	i12	i07	i04	i05	i03	i13	i01	i10	i09
DNAJC9_-_75006969.23-P1P2|DNAJC9_+_75007004.23-P1P2++DNAJC9_-_75006969.23-P1P2|DNAJC9_+_75007004.23-P1P2	DNAJC9	928	548	860	873	813	844	1130	610	993	868	856	1165	1957	729	862	911
LONRF1_+_12612960.23-P1P2|LONRF1_-_12612941.23-P1P2++LONRF1_+_12612960.23-P1P2|LONRF1_-_12612941.23-P1P2	LONRF1	2451	187	1727	1693	377	1609	830	718	471	354	339	276	1452	1952	2041	2301
ORM1_+_117086323.23-P1P2|ORM1_-_117086405.23-P1P2++ORM1_+_117086323.23-P1P2|ORM1_-_117086405.23-P1P2	ORM1	1496	1326	1717	1792	2254	1730	2570	2964	2588	2234	2311	2037	6044	1255	1422	1317
USP49_+_41863060.23-P1P2|USP49_-_41863094.23-P1P2++USP49_+_41863060.23-P1P2|USP49_-_41863094.23-P1P2	USP49	531	692	503	516	722	407	644	838	752	628	586	773	1262	620	610	482
DHRS2_+_24105839.23-P1P2|DHRS2_-_24106054.23-P1P2++DHRS2_+_24105839.23-P1P2|DHRS2_-_24106054.23-P1P2	DHRS2	316	468	354	693	782	668	972	671	941	825	1007	1060	1989	373	429	550
CASC10_-_21786190.23-P1P2|CASC10_+_21786155.23-P1P2++CASC10_-_21786190.23-P1P2|CASC10_+_21786155.23-P1P2	CASC10	2147	2953	2611	2192	2987	2617	3495	3415	3268	3356	3903	4179	6149	1800	1922	2271
COL3A1_-_189839131.23-P1P2|COL3A1_-_189839099.23-P1P2++COL3A1_-_189839131.23-P1P2|COL3A1_-_189839099.23-P1P2	COL3A1	1057	1481	1265	1205	1650	1364	2004	1840	1293	1949	2210	2509	3466	948	1057	919
IMPDH2_+_49066798.23-P1P2|IMPDH2_+_49066801.23-P1P2++IMPDH2_+_49066798.23-P1P2|IMPDH2_+_49066801.23-P1P2	IMPDH2	964	704	1403	1407	1241	1585	1508	1866	1265	1002	1245	1283	3263	743	852	1059
TFPT_+_54619005.23-P1P2|TFPT_+_54618985.23-P1P2++TFPT_+_54619005.23-P1P2|TFPT_+_54618985.23-P1P2	TFPT	1591	64	810	893	98	989	443	339	84	104	143	145	688	1100	1410	1575
VWA1_+_1371508.23-P1P2|VWA1_+_1370934.23-P1P2++VWA1_+_1371508.23-P1P2|VWA1_+_1370934.23-P1P2	VWA1	1167	334	641	934	608	1039	1127	847	562	665	778	944	2903	808	1027	1429
non-targeting_00831|non-targeting_01058++non-targeting_00831|non-targeting_01058	non-targeting	465	493	591	654	641	675	952	773	904	1128	861	1078	1988	310	880	306
KRT78_-_53242715.23-P1P2|KRT78_+_53242543.23-P1P2++KRT78_-_53242715.23-P1P2|KRT78_+_53242543.23-P1P2	KRT78	1224	1349	1338	1261	1784	1378	2327	1957	2108	1777	2362	2028	4884	1196	1227	1419
EIF6_+_33872338.23-P1P2|EIF6_+_33872401.23-P1P2++EIF6_+_33872338.23-P1P2|EIF6_+_33872401.23-P1P2	EIF6	896	77	452	371	5	262	56	32	89	69	18	58	38	960	1342	1653
SPINK1_-_147211162.23-P1P2|SPINK1_-_147210856.23-P1P2++SPINK1_-_147211162.23-P1P2|SPINK1_-_147210856.23-P1P2	SPINK1	1157	1332	1053	1254	1648	1518	1570	1764	1332	1773	1965	2028	3226	967	1015	948
ACE_-_61562443.23-P2|ACE_+_61562272.23-P2++ACE_-_61562443.23-P2|ACE_+_61562272.23-P2	ACE	896	1790	1156	1186	1663	961	1278	1534	2161	1924	2186	1939	3529	983	747	1202
ABL2_+_179198340.23-P2|ABL2_+_179198740.23-P2++ABL2_+_179198340.23-P2|ABL2_+_179198740.23-P2	ABL2	2504	4160	3367	3339	4742	3679	4164	4251	5062	6140	5028	5244	10502	2728	2968	2866
KCNE1L_-_108868384.23-P1P2|KCNE1L_-_108868207.23-P1P2++KCNE1L_-_108868384.23-P1P2|KCNE1L_-_108868207.23-P1P2	KCNE1L	1316	1266	1581	1476	1747	1613	1991	2066	1590	2452	2326	2370	4206	1581	1095	1341
MEMO1_+_32235995.23-P2|MEMO1_+_32236004.23-P2++MEMO1_+_32235995.23-P2|MEMO1_+_32236004.23-P2	MEMO1	1171	1428	1296	1596	1859	1829	2058	1862	1884	2065	2217	2255	4784	1146	1288	1166
AKAP1_-_55162653.23-P1P2|AKAP1_-_55162661.23-P1P2++AKAP1_-_55162653.23-P1P2|AKAP1_-_55162661.23-P1P2	AKAP1	1141	1269	1551	1539	1129	1579	1700	2320	1345	1559	1312	1138	3217	859	1219	1385
VEGFA_-_43737979.23-P1P2|VEGFA_-_43737985.23-P1P2++VEGFA_-_43737979.23-P1P2|VEGFA_-_43737985.23-P1P2	VEGFA	1010	1155	1060	1138	1460	1265	1189	1638	1488	1521	1740	1802	2467	937	1036	999
SRP68_+_74068540.23-P1P2|SRP68_-_74068607.23-P1P2++SRP68_+_74068540.23-P1P2|SRP68_-_74068607.23-P1P2	SRP68	1897	32	7	47	14	88	2	2	34	30	1	2	81	1624	1446	1736
HMCN1_+_185703601.23-P1P2|HMCN1_-_185703737.23-P1P2++HMCN1_+_185703601.23-P1P2|HMCN1_-_185703737.23-P1P2	HMCN1	1512	2012	1534	2024	2331	1514	2370	1999	2811	2569	3362	3918	5129	1232	1760	1612
TSPYL2_-_53111541.23-P1P2|TSPYL2_-_53111559.23-P1P2++TSPYL2_-_53111541.23-P1P2|TSPYL2_-_53111559.23-P1P2	TSPYL2	2435	2748	2118	2275	3155	2359	3012	3064	3605	3214	3052	4289	5737	1708	1986	2009
L3MBTL2_-_41601313.23-P1P2|L3MBTL2_-_41601390.23-P1P2++L3MBTL2_-_41601313.23-P1P2|L3MBTL2_-_41601390.23-P1P2	L3MBTL2	435	0	97	59	15	154	12	26	29	10	0	84	106	255	536	466
CDC34_-_531748.23-P1P2|CDC34_-_531788.23-P1P2++CDC34_-_531748.23-P1P2|CDC34_-_531788.23-P1P2	CDC34	2360	856	1158	1177	1005	1331	448	618	1490	942	881	1177	1063	1782	2183	1927
FAR1_-_13690642.23-P1P2|FAR1_-_13690253.23-P1P2++FAR1_-_13690642.23-P1P2|FAR1_-_13690253.23-P1P2	FAR1	2573	1713	2831	3449	2237	3428	2838	2840	2331	2860	3301	2855	6971	2338	2170	2437
GML_+_143921552.23-P1|GML_-_143921559.23-P1++GML_+_143921552.23-P1|GML_-_143921559.23-P1	GML	938	2222	1590	1890	2049	2236	1515	1892	2584	2680	2916	3171	4135	1282	1350	1262
KLHL36_+_84682163.23-P1|KLHL36_-_84682343.23-P1++KLHL36_+_84682163.23-P1|KLHL36_-_84682343.23-P1	KLHL36	1586	1852	2156	2225	2395	2280	2479	3043	2430	3096	2787	3387	5959	1266	1559	1482
EIF4A2_+_186501358.23-P1|EIF4A2_+_186501412.23-P1++EIF4A2_+_186501358.23-P1|EIF4A2_+_186501412.23-P1	EIF4A2	466	29	416	273	37	304	136	184	41	21	12	23	278	518	545	505
EYA3_-_28415104.23-P1P2|EYA3_-_28415116.23-P1P2++EYA3_-_28415104.23-P1P2|EYA3_-_28415116.23-P1P2	EYA3	831	622	586	705	867	1017	831	768	744	1062	1400	1003	2605	534	755	628
LZIC_+_10002555.23-P1P2|LZIC_+_10003267.23-P1P2++LZIC_+_10002555.23-P1P2|LZIC_+_10003267.23-P1P2	LZIC	547	495	546	860	684	580	801	892	1043	860	1045	975	1930	433	378	588
LRRC59_-_48469832.23-P2|LRRC59_+_48469826.23-P2++LRRC59_-_48469832.23-P2|LRRC59_+_48469826.23-P2	LRRC59	1273	792	1279	1259	1112	1541	1829	1682	955	1345	1525	1716	5355	901	926	944
LMX1B_+_129376441.23-P1P2|LMX1B_+_129376444.23-P1P2++LMX1B_+_129376441.23-P1P2|LMX1B_+_129376444.23-P1P2	LMX1B	1195	755	746	978	1040	1286	1224	1785	1105	1643	1273	1376	2544	960	1091	1261
TAPBPL_-_6561287.23-P1P2|TAPBPL_-_6561224.23-P1P2++TAPBPL_-_6561287.23-P1P2|TAPBPL_-_6561224.23-P1P2	TAPBPL	1505	2012	1513	1677	2368	1609	2296	2321	2378	1975	3249	2396	5050	1093	1408	1364
ARID3B_-_74833936.23-P1P2|ARID3B_+_74833663.23-P1P2++ARID3B_-_74833936.23-P1P2|ARID3B_+_74833663.23-P1P2	ARID3B	1893	2558	2375	1541	3125	2513	3011	3079	2860	3036	3546	4165	7031	1540	1932	1467
SLCO6A1_-_101834665.23-P1P2|SLCO6A1_-_101834644.23-P1P2++SLCO6A1_-_101834665.23-P1P2|SLCO6A1_-_101834644.23-P1P2	SLCO6A1	1261	2062	1822	1669	2063	1979	1906	2162	2085	2453	2668	2448	5136	1141	1345	1186
non-targeting_00934|non-targeting_02971++non-targeting_00934|non-targeting_02971	non-targeting	1633	2249	2310	2176	2868	2377	3773	3711	2603	2865	3559	3129	7267	1549	1433	1730
MIDN_+_1249881.23-P1|MIDN_-_1249954.23-P1++MIDN_+_1249881.23-P1|MIDN_-_1249954.23-P1	MIDN	1710	2669	3074	2677	2892	2603	2975	3490	3747	3210	4914	3263	6979	1598	1365	1702
SMAD6_+_66994706.23-P1P2|SMAD6_-_66994744.23-P1P2++SMAD6_+_66994706.23-P1P2|SMAD6_-_66994744.23-P1P2	SMAD6	1376	1011	1293	1154	1590	1495	1631	1588	1310	1809	1828	1647	2807	1357	1429	1211
MKNK1_+_47082506.23-P2|MKNK1_+_47082452.23-P2++MKNK1_+_47082506.23-P2|MKNK1_+_47082452.23-P2	MKNK1	1624	1173	2527	3041	1746	3332	4072	3252	1967	1585	1688	1754	7297	1522	1693	1575
IGFL2_+_46651569.23-P1P2|IGFL2_-_46651559.23-P1P2++IGFL2_+_46651569.23-P1P2|IGFL2_-_46651559.23-P1P2	IGFL2	646	691	766	657	1118	743	1070	1351	1076	1329	1305	1045	1741	415	384	540
SDE2_+_226187037.23-P1P2|SDE2_+_226187030.23-P1P2++SDE2_+_226187037.23-P1P2|SDE2_+_226187030.23-P1P2	SDE2	915	639	860	921	973	1093	1126	976	703	756	908	1052	1902	908	1051	695
RNF7_+_141457158.23-P1P2|RNF7_-_141457414.23-P1P2++RNF7_+_141457158.23-P1P2|RNF7_-_141457414.23-P1P2	RNF7	6132	7062	4934	5148	7968	5177	6837	6560	9298	10157	10740	11140	13425	4668	5412	6279
CCDC70_+_52436320.23-P1P2|CCDC70_-_52436234.23-P1P2++CCDC70_+_52436320.23-P1P2|CCDC70_-_52436234.23-P1P2	CCDC70	1035	1229	1217	1614	1521	1820	1716	1624	1938	1971	1923	2146	3381	907	1311	980
GORAB_-_170501379.23-P1P2|GORAB_-_170501332.23-P1P2++GORAB_-_170501379.23-P1P2|GORAB_-_170501332.23-P1P2	GORAB	1692	986	1408	1579	1489	1768	1596	1715	1422	1371	1973	1659	4175	1374	1312	1679
ECI2_+_4135790.23-P1P2|ECI2_+_4135775.23-P1P2++ECI2_+_4135790.23-P1P2|ECI2_+_4135775.23-P1P2	ECI2	1283	293	236	187	242	104	156	224	206	463	319	247	406	889	781	906
LYPD5_+_44324738.23-P1|LYPD5_+_44324680.23-P1++LYPD5_+_44324738.23-P1|LYPD5_+_44324680.23-P1	LYPD5	1806	2454	2164	1607	2533	2196	2284	2821	3153	3043	3975	3635	5739	1643	1450	1791
non-targeting_00296|non-targeting_03582++non-targeting_00296|non-targeting_03582	non-targeting	1387	1496	1409	1666	2036	1893	1652	1679	1841	2165	2377	2106	4865	1171	1270	1112
IFIT1_-_91152418.23-P1P2|IFIT1_+_91152436.23-P1P2++IFIT1_-_91152418.23-P1P2|IFIT1_+_91152436.23-P1P2	IFIT1	890	363	779	852	465	1040	468	604	492	466	620	574	1562	704	948	975
non-targeting_02293|non-targeting_03178++non-targeting_02293|non-targeting_03178	non-targeting	1728	2706	1479	1546	2071	1970	1771	1972	2681	2536	2078	2625	4740	1168	1553	1809
PPP5D1_+_47104142.23-P1P2|PPP5D1_-_47104158.23-P1P2++PPP5D1_+_47104142.23-P1P2|PPP5D1_-_47104158.23-P1P2	PPP5D1	1076	1202	763	577	989	657	1364	1052	1302	1186	1612	1553	2212	677	408	969
ZMYM3_-_70474736.23-P2|ZMYM3_-_70474706.23-P2++ZMYM3_-_70474736.23-P2|ZMYM3_-_70474706.23-P2	ZMYM3	1095	1514	1375	1654	2556	1894	2493	2321	2667	2818	2791	3490	5379	961	1056	1144
WDR25_-_100842832.23-P1P2|WDR25_+_100842799.23-P1P2++WDR25_-_100842832.23-P1P2|WDR25_+_100842799.23-P1P2	WDR25	1307	33	349	237	25	348	268	292	66	43	48	48	549	1255	1434	2011
PRTFDC1_+_25241468.23-P1P2|PRTFDC1_+_25241500.23-P1P2++PRTFDC1_+_25241468.23-P1P2|PRTFDC1_+_25241500.23-P1P2	PRTFDC1	1404	1652	1330	1577	1995	2367	2448	2483	2539	2315	2707	2285	4777	1204	1400	1299
C1orf95_+_226736529.23-P1P2|C1orf95_+_226736545.23-P1P2++C1orf95_+_226736529.23-P1P2|C1orf95_+_226736545.23-P1P2	C1orf95	1404	1630	1672	1685	2599	2000	2303	2230	2651	2528	2970	2253	4647	1178	1500	1301
ADAM29_+_175839643.23-P1P2|ADAM29_+_175839773.23-P1P2++ADAM29_+_175839643.23-P1P2|ADAM29_+_175839773.23-P1P2	ADAM29	783	652	571	845	1167	1184	1079	1113	1212	1161	1323	1232	2587	620	704	594
OR1Q1_+_125377035.23-ENST00000297913.2|OR1Q1_+_125377396.23-ENST00000297913.2++OR1Q1_+_125377035.23-ENST00000297913.2|OR1Q1_+_125377396.23-ENST00000297913.2	OR1Q1	973	968	1121	1182	984	846	1237	1247	933	1118	1718	1437	2360	689	814	915
PLG_+_161127594.23-P1|PLG_-_161127603.23-P1++PLG_+_161127594.23-P1|PLG_-_161127603.23-P1	PLG	435	471	299	380	807	456	643	523	490	566	652	784	1427	234	409	355
TXNL4A_-_77748145.23-P1P2|TXNL4A_+_77748133.23-P1P2++TXNL4A_-_77748145.23-P1P2|TXNL4A_+_77748133.23-P1P2	TXNL4A	1137	153	932	1019	128	963	773	1125	230	399	362	206	1944	1087	1724	1521
GMPR_-_16238986.23-P1P2|GMPR_-_16239187.23-P1P2++GMPR_-_16238986.23-P1P2|GMPR_-_16239187.23-P1P2	GMPR	1048	1138	1027	1076	1481	1212	1907	1677	1576	1671	1415	1992	3352	548	887	911
MCOLN3_-_85514119.23-P1P2|MCOLN3_-_85514192.23-P1P2++MCOLN3_-_85514119.23-P1P2|MCOLN3_-_85514192.23-P1P2	MCOLN3	2758	2334	3671	2437	4628	3344	4546	3341	2670	3432	4676	3850	8783	1848	2408	2280
GIPR_-_46171538.23-P1P2|GIPR_+_46171590.23-P1P2++GIPR_-_46171538.23-P1P2|GIPR_+_46171590.23-P1P2	GIPR	1892	2213	2134	1969	2585	2263	2803	3665	2790	3431	3274	2741	7285	1560	1779	1869
BOP1_+_145515084.23-P1|BOP1_+_145515090.23-P1++BOP1_+_145515084.23-P1|BOP1_+_145515090.23-P1	BOP1	1133	64	363	284	38	271	34	14	9	34	31	8	63	715	1406	1061
OR8J1_+_56127691.23-ENST00000303039.3|OR8J1_-_56127828.23-ENST00000303039.3++OR8J1_+_56127691.23-ENST00000303039.3|OR8J1_-_56127828.23-ENST00000303039.3	OR8J1	225	190	271	293	226	526	630	311	404	356	584	474	1190	123	202	268
NUDT10_-_51075688.23-P1P2|NUDT10_+_51075736.23-P1P2++NUDT10_-_51075688.23-P1P2|NUDT10_+_51075736.23-P1P2	NUDT10	5641	7570	6506	6987	8624	9186	10599	9191	9190	10372	10498	11534	20463	4386	4925	5132
OBSL1_-_220435922.23-P1P2|OBSL1_+_220436106.23-P1P2++OBSL1_-_220435922.23-P1P2|OBSL1_+_220436106.23-P1P2	OBSL1	2323	3651	2779	3383	3919	3391	4080	3864	4655	4249	4605	4724	8518	2307	2130	2231
GUCA1A_+_42141199.23-P2|GUCA1A_-_42141151.23-P2++GUCA1A_+_42141199.23-P2|GUCA1A_-_42141151.23-P2	GUCA1A	2056	2119	1739	1977	2347	2187	3471	2964	2837	3471	3257	3790	6737	1527	1872	1539
CDH18_+_19988286.23-P1P2|CDH18_+_19988290.23-P1P2++CDH18_+_19988286.23-P1P2|CDH18_+_19988290.23-P1P2	CDH18	834	1166	807	985	1248	1008	1264	866	1407	1212	1393	1416	3017	663	627	591
MFSD10_-_2936538.23-P1P2|MFSD10_-_2936524.23-P1P2++MFSD10_-_2936538.23-P1P2|MFSD10_-_2936524.23-P1P2	MFSD10	1716	1346	2490	1776	2393	1801	2361	2419	2461	2236	2892	3198	4809	1472	1480	1350
ZNF662_-_42947681.23-P1P2|ZNF662_-_42947674.23-P1P2++ZNF662_-_42947681.23-P1P2|ZNF662_-_42947674.23-P1P2	ZNF662	948	1367	1604	1320	1453	1684	1695	1551	1519	1732	2215	2448	3637	876	1168	1361
KIAA0391_+_35591777.23-P1P2|KIAA0391_+_35591884.23-P1P2++KIAA0391_+_35591777.23-P1P2|KIAA0391_+_35591884.23-P1P2	KIAA0391	696	83	327	443	96	692	384	223	168	97	138	108	754	537	648	577
PCSK9_+_55505255.23-P1P2|PCSK9_-_55505272.23-P1P2++PCSK9_+_55505255.23-P1P2|PCSK9_-_55505272.23-P1P2	PCSK9	1149	1857	1886	1273	1829	1391	1899	1999	2325	2297	2352	2253	3900	1116	1171	1088
PPAP2C_+_291324.23-P1P2|PPAP2C_+_291356.23-P1P2++PPAP2C_+_291324.23-P1P2|PPAP2C_+_291356.23-P1P2	PPAP2C	3302	4868	4799	3918	5068	4701	4305	5434	5167	5092	6628	5670	9538	2893	2892	4058
TGFBI_+_135364702.23-P1|TGFBI_+_135364737.23-P1++TGFBI_+_135364702.23-P1|TGFBI_+_135364737.23-P1	TGFBI	1687	2488	1868	1579	2458	1476	1740	2564	2316	2507	2530	2282	3861	1193	1238	1732
KRBA1_-_149412079.23-P1P2|KRBA1_+_149412067.23-P1P2++KRBA1_-_149412079.23-P1P2|KRBA1_+_149412067.23-P1P2	KRBA1	6838	8077	7385	6545	9070	6520	8810	8612	9470	9904	10255	10399	18399	4594	5621	5238
TNFRSF4_-_1149473.23-P1P2|TNFRSF4_-_1149433.23-P1P2++TNFRSF4_-_1149473.23-P1P2|TNFRSF4_-_1149433.23-P1P2	TNFRSF4	2824	3969	3369	3612	3838	3250	4442	4709	4545	3553	4533	4735	9852	2475	2966	2753
ZNF726_+_24097720.23-P1P2|ZNF726_-_24098106.23-P1P2++ZNF726_+_24097720.23-P1P2|ZNF726_-_24098106.23-P1P2	ZNF726	1295	1319	1574	1590	2067	1606	2042	2114	2222	2085	2675	2405	4218	1377	1018	935
ACAD11_+_132379379.23-P1P2|ACAD11_-_132379444.23-P1P2++ACAD11_+_132379379.23-P1P2|ACAD11_-_132379444.23-P1P2	ACAD11	613	952	446	488	783	422	414	371	743	654	823	882	800	655	781	685
LIX1L_-_145477097.23-P1P2|LIX1L_-_145477093.23-P1P2++LIX1L_-_145477097.23-P1P2|LIX1L_-_145477093.23-P1P2	LIX1L	1481	1786	1644	1555	1803	1544	1773	2007	2006	2161	2838	2694	4047	962	1113	1173
DYNLRB1_+_33114045.23-P2|DYNLRB1_+_33114412.23-P2++DYNLRB1_+_33114045.23-P2|DYNLRB1_+_33114412.23-P2	DYNLRB1	1352	1169	1193	1379	2025	1537	1812	1688	2419	2029	2983	2329	4005	963	1112	1059
HOOK1_-_60280742.23-P1P2|HOOK1_+_60280723.23-P1P2++HOOK1_-_60280742.23-P1P2|HOOK1_+_60280723.23-P1P2	HOOK1	134	275	120	187	213	200	246	81	104	194	186	325	273	162	84	58
TTC37_-_94890435.23-P1P2|TTC37_+_94890492.23-P1P2++TTC37_-_94890435.23-P1P2|TTC37_+_94890492.23-P1P2	TTC37	963	1144	1791	1096	1283	1516	1671	1287	1416	1628	1748	1235	3225	1105	1022	1404
AARD_+_117950477.23-P1P2|AARD_+_117950489.23-P1P2++AARD_+_117950477.23-P1P2|AARD_+_117950489.23-P1P2	AARD	29	17	46	1	0	18	3	9	25	45	0	19	0	27	29	2
KNOP1_-_19729484.23-P1P2|KNOP1_+_19729466.23-P1P2++KNOP1_-_19729484.23-P1P2|KNOP1_+_19729466.23-P1P2	KNOP1	523	959	766	875	895	828	775	925	1151	1016	991	1162	2151	572	690	704
MMP20_-_102495982.23-ENST00000260228.2|MMP20_-_102495976.23-ENST00000260228.2++MMP20_-_102495982.23-ENST00000260228.2|MMP20_-_102495976.23-ENST00000260228.2	MMP20	1205	1279	1536	1636	1731	1785	1919	2110	1971	1786	2518	2192	4745	877	990	1168
PTGER2_-_52781108.23-P1P2|PTGER2_+_52781055.23-P1P2++PTGER2_-_52781108.23-P1P2|PTGER2_+_52781055.23-P1P2	PTGER2	1852	1315	2761	2541	1900	2792	2711	2794	2097	1362	2502	2678	6420	1410	1911	1731
TES_-_115850610.23-P1P2|TES_-_115850624.23-P1P2++TES_-_115850610.23-P1P2|TES_-_115850624.23-P1P2	TES	1023	1780	1602	1477	1807	1811	1759	2551	2352	2270	2332	2135	4558	994	1363	1437
CXorf64_-_125953780.23-P1P2|CXorf64_+_125953769.23-P1P2++CXorf64_-_125953780.23-P1P2|CXorf64_+_125953769.23-P1P2	CXorf64	947	1339	801	618	1484	1460	1115	1459	1650	1677	1597	2003	2711	582	821	938
NUDT12_+_102898456.23-P1P2|NUDT12_+_102898476.23-P1P2++NUDT12_+_102898456.23-P1P2|NUDT12_+_102898476.23-P1P2	NUDT12	825	976	974	1250	1049	1519	1533	1632	1390	1504	2116	1614	3560	736	611	1043
KIF3A_+_132072900.23-P1P2|KIF3A_-_132073183.23-P1P2++KIF3A_+_132072900.23-P1P2|KIF3A_-_132073183.23-P1P2	KIF3A	1775	2309	1597	1791	2327	1910	2410	2237	2475	2346	2814	2724	5817	1638	1653	1705
VGLL2_+_117586727.23-P1P2|VGLL2_-_117586764.23-P1P2++VGLL2_+_117586727.23-P1P2|VGLL2_-_117586764.23-P1P2	VGLL2	1316	1841	1282	1595	2070	1568	2453	2341	2748	3045	2901	3576	4970	1366	1420	1347
KRTAP19-2_+_31859701.23-ENST00000334055.3|KRTAP19-2_+_31859572.23-ENST00000334055.3++KRTAP19-2_+_31859701.23-ENST00000334055.3|KRTAP19-2_+_31859572.23-ENST00000334055.3	KRTAP19-2	1803	2010	1443	2300	2685	2067	2234	2986	2917	3157	2857	4072	5275	1884	1840	1531
GPR171_+_150920977.23-P1P2|GPR171_-_150920957.23-P1P2++GPR171_+_150920977.23-P1P2|GPR171_-_150920957.23-P1P2	GPR171	1356	1733	1627	1823	2316	2457	2453	2970	2423	2649	2388	3155	4480	1312	1467	1649
non-targeting_01819|non-targeting_01912++non-targeting_01819|non-targeting_01912	non-targeting	894	834	909	886	1223	1452	1386	1458	1262	1436	1996	1259	2759	723	864	1065
non-targeting_02119|non-targeting_02651++non-targeting_02119|non-targeting_02651	non-targeting	1050	1021	1245	923	1293	1230	1512	1865	1539	1608	1846	2149	3661	891	911	835
MAGEC3_-_140982487.23-ENST00000544766.1|MAGEC3_+_140982546.23-ENST00000544766.1++MAGEC3_-_140982487.23-ENST00000544766.1|MAGEC3_+_140982546.23-ENST00000544766.1	MAGEC3	1029	1214	1330	1369	1555	1731	1988	1997	1598	1820	1765	2072	4787	1173	1157	1550
CTSD_-_1784665.23-P1P2|CTSD_-_1785114.23-P1P2++CTSD_-_1784665.23-P1P2|CTSD_-_1785114.23-P1P2	CTSD	1282	1730	1580	1716	2299	1067	1463	1896	2203	1900	2038	1866	4675	1008	1139	979
APBB2_+_41216527.23-P1P2|APBB2_+_41216456.23-P1P2++APBB2_+_41216527.23-P1P2|APBB2_+_41216456.23-P1P2	APBB2	1186	796	1046	1048	1183	1473	1418	1342	1444	540	1395	2080	3113	742	727	1054
PGPEP1L_+_99550547.23-P1|PGPEP1L_+_99551008.23-P1++PGPEP1L_+_99550547.23-P1|PGPEP1L_+_99551008.23-P1	PGPEP1L	897	1322	907	1049	1519	1332	1960	1613	2013	1933	1811	1792	3713	767	670	1174
RTBDN_-_12941450.23-P1|RTBDN_-_12941468.23-P1++RTBDN_-_12941450.23-P1|RTBDN_-_12941468.23-P1	RTBDN	858	1000	1116	1168	1010	908	1726	1415	1366	1470	1329	2163	2670	706	794	897
WIPI1_-_66453567.23-P1P2|WIPI1_-_66453639.23-P1P2++WIPI1_-_66453567.23-P1P2|WIPI1_-_66453639.23-P1P2	WIPI1	4895	7326	6500	5728	7366	6017	6919	8034	8015	9477	9698	9147	14391	4191	4788	5400
ADCY1_+_45614267.23-P1P2|ADCY1_-_45614293.23-P1P2++ADCY1_+_45614267.23-P1P2|ADCY1_-_45614293.23-P1P2	ADCY1	315	331	276	311	395	568	495	479	525	528	580	711	1145	259	257	291
EFHC1_-_52285167.23-P1P2|EFHC1_-_52285184.23-P1P2++EFHC1_-_52285167.23-P1P2|EFHC1_-_52285184.23-P1P2	EFHC1	1636	636	1083	1155	972	1414	1222	1562	945	927	1365	1128	2997	1392	1176	1662
NTPCR_+_233086405.23-P1P2|NTPCR_-_233086386.23-P1P2++NTPCR_+_233086405.23-P1P2|NTPCR_-_233086386.23-P1P2	NTPCR	757	185	743	959	170	886	783	522	181	201	216	118	1969	572	669	922
UMPS_-_124449324.23-P1P2|UMPS_-_124449321.23-P1P2++UMPS_-_124449324.23-P1P2|UMPS_-_124449321.23-P1P2	UMPS	606	773	535	559	944	755	633	688	702	1041	705	841	1778	433	583	568
MIA2_-_39703171.23-P1P2|MIA2_+_39703202.23-P1P2++MIA2_-_39703171.23-P1P2|MIA2_+_39703202.23-P1P2	MIA2	240	264	189	328	372	672	745	311	695	542	723	983	1522	318	145	289
WBSCR17_+_70596891.23-P1P2|WBSCR17_+_70597385.23-P1P2++WBSCR17_+_70596891.23-P1P2|WBSCR17_+_70597385.23-P1P2	WBSCR17	2084	2282	2535	2640	3076	3169	2898	3452	3296	3923	3256	3697	7605	1637	1898	2327
BOD1_+_173043610.23-P1P2|BOD1_-_173043462.23-P1P2++BOD1_+_173043610.23-P1P2|BOD1_-_173043462.23-P1P2	BOD1	1378	677	1260	1273	1195	1338	1532	1302	1089	1318	1567	1414	3984	990	869	1217
PRKG1_-_52750786.23-ENST00000401604.2|PRKG1_-_52750832.23-ENST00000401604.2++PRKG1_-_52750786.23-ENST00000401604.2|PRKG1_-_52750832.23-ENST00000401604.2	PRKG1	680	250	988	561	379	1037	820	670	532	408	303	469	1282	411	526	698
MAP1LC3B_-_87425948.23-P1P2|MAP1LC3B_-_87425925.23-P1P2++MAP1LC3B_-_87425948.23-P1P2|MAP1LC3B_-_87425925.23-P1P2	MAP1LC3B	1117	1155	926	1343	1602	1808	2176	1944	2183	1814	1942	2556	4245	735	854	986
TFAP2A_-_10415311.23-P2|TFAP2A_-_10414850.23-P2++TFAP2A_-_10415311.23-P2|TFAP2A_-_10414850.23-P2	TFAP2A	1466	1842	1872	1480	2178	2131	2114	2285	2615	2694	3294	2881	4438	1556	1200	1524
WDR65_+_43638066.23-P1P2|WDR65_+_43638079.23-P1P2++WDR65_+_43638066.23-P1P2|WDR65_+_43638079.23-P1P2	WDR65	1368	1132	1243	1629	1725	1300	1640	2503	2051	2175	2292	2492	5359	1052	1170	1073
PROM2_+_95940280.23-P1P2|PROM2_-_95940275.23-P1P2++PROM2_+_95940280.23-P1P2|PROM2_-_95940275.23-P1P2	PROM2	1474	1343	1499	1650	1230	2166	2050	1582	2066	2515	2095	1867	4413	1058	1142	1176
