	target	i02	i08	i14	i15	i06	i16	i11	i12	i07	i04	i05	i03	i13	i01	i10	i09
PARP2_-_20811834.23-P1P2|PARP2_-_20811828.23-P1P2++PARP2_-_20811834.23-P1P2|PARP2_-_20811828.23-P1P2	PARP2	4344	5755	4377	4214	5555	3705	4907	5377	5536	5974	7178	5610	10900	2971	3373	3929
MYRFL_-_70320481.23-ENST00000299350.4,ENST00000548892.1|MYRFL_-_70320469.23-ENST00000299350.4,ENST00000548892.1++MYRFL_-_70320481.23-ENST00000299350.4,ENST00000548892.1|MYRFL_-_70320469.23-ENST00000299350.4,ENST00000548892.1	MYRFL	1941	2158	1336	2069	2745	2404	2273	2345	3147	3127	3319	3917	6370	1418	1635	1601
PVRL1_+_119599842.23-P1P2|PVRL1_-_119599881.23-P1P2++PVRL1_+_119599842.23-P1P2|PVRL1_-_119599881.23-P1P2	PVRL1	1615	2292	2108	2044	2606	2720	3108	2203	2933	2901	3777	3621	5488	1567	1302	1548
KCNMB2_+_178276652.23-P1|KCNMB2_-_178276709.23-P1++KCNMB2_+_178276652.23-P1|KCNMB2_-_178276709.23-P1	KCNMB2	1310	1635	1460	1368	1806	1821	1711	2102	2018	2053	1988	2312	4390	985	850	1245
ENOX1_-_44360828.23-P1P2|ENOX1_-_44360813.23-P1P2++ENOX1_-_44360828.23-P1P2|ENOX1_-_44360813.23-P1P2	ENOX1	2808	2204	1678	1486	2089	1437	1437	1527	1921	2836	3445	3374	3591	2117	1921	2220
non-targeting_01469|non-targeting_02714++non-targeting_01469|non-targeting_02714	non-targeting	621	547	387	449	424	600	694	836	796	970	918	919	1943	462	518	326
CPT2_-_53662547.23-P1P2|CPT2_-_53662885.23-P1P2++CPT2_-_53662547.23-P1P2|CPT2_-_53662885.23-P1P2	CPT2	631	969	680	788	862	860	969	780	1291	983	1450	1509	2031	703	665	681
ERH_+_69864986.23-P1P2|ERH_-_69864782.23-P1P2++ERH_+_69864986.23-P1P2|ERH_-_69864782.23-P1P2	ERH	132	0	0	10	0	1	0	0	0	0	0	0	0	84	93	66
KIAA0226L_+_46961322.23-P1P2|KIAA0226L_+_46961350.23-P1P2++KIAA0226L_+_46961322.23-P1P2|KIAA0226L_+_46961350.23-P1P2	KIAA0226L	5829	7193	6866	8046	7704	7351	9527	10063	9310	8355	9673	9331	19783	4464	5154	5624
C11orf44_-_130542921.23-ENST00000317019.2|C11orf44_+_130542913.23-ENST00000317019.2++C11orf44_-_130542921.23-ENST00000317019.2|C11orf44_+_130542913.23-ENST00000317019.2	C11orf44	2072	1657	2039	2382	2594	2505	2500	2737	2675	2180	2381	2496	6270	1993	2222	2552
OR6C75_+_55758988.23-ENST00000343399.3|OR6C75_+_55759312.23-ENST00000343399.3++OR6C75_+_55758988.23-ENST00000343399.3|OR6C75_+_55759312.23-ENST00000343399.3	OR6C75	1115	940	833	830	1156	1005	1251	713	1514	1460	1272	1897	2885	597	806	705
AP1M1_+_16308778.23-P1P2|AP1M1_-_16308748.23-P1P2++AP1M1_+_16308778.23-P1P2|AP1M1_-_16308748.23-P1P2	AP1M1	1569	1425	1014	890	1686	1175	1204	1570	1969	1619	2179	2029	3232	1092	1217	1309
LACRT_-_55028436.23-P1P2|LACRT_-_55028331.23-P1P2++LACRT_-_55028436.23-P1P2|LACRT_-_55028331.23-P1P2	LACRT	1772	2233	2015	2169	2274	2357	2369	2443	2439	3276	2821	2785	6511	1700	1545	1629
KIF5C_+_149632995.23-P1P2|KIF5C_-_149632857.23-P1P2++KIF5C_+_149632995.23-P1P2|KIF5C_-_149632857.23-P1P2	KIF5C	1498	1162	1409	1084	1689	1456	1953	2110	2120	1925	1709	2003	4614	1112	1210	1321
HIAT1_-_100503713.23-P1P2|HIAT1_+_100504048.23-P1P2++HIAT1_-_100503713.23-P1P2|HIAT1_+_100504048.23-P1P2	HIAT1	2790	4550	4220	3759	5135	4276	5069	5188	5287	5558	5700	5824	12262	2564	1991	2801
XPC_+_14219880.23-P1|XPC_+_14220059.23-P1++XPC_+_14219880.23-P1|XPC_+_14220059.23-P1	XPC	505	43	393	342	49	337	99	85	27	6	29	24	173	453	586	829
WEE2_-_141408194.23-ENST00000397541.2|WEE2_-_141408391.23-ENST00000397541.2++WEE2_-_141408194.23-ENST00000397541.2|WEE2_-_141408391.23-ENST00000397541.2	WEE2	329	294	294	229	445	516	643	352	714	602	590	700	2019	294	431	503
DNAJB5_-_34989751.23-P1|DNAJB5_-_34989760.23-P1++DNAJB5_-_34989751.23-P1|DNAJB5_-_34989760.23-P1	DNAJB5	1215	210	769	678	155	711	435	483	111	224	189	143	959	924	1262	1137
KCNV2_-_2717578.23-P1P2|KCNV2_+_2717602.23-P1P2++KCNV2_-_2717578.23-P1P2|KCNV2_+_2717602.23-P1P2	KCNV2	1817	2503	1880	1806	2918	2574	2430	2269	2794	2986	3323	3252	5789	1718	1315	1689
CD164_-_109703434.23-P1P2|CD164_+_109703656.23-P1P2++CD164_-_109703434.23-P1P2|CD164_+_109703656.23-P1P2	CD164	1695	2491	2923	2777	3113	2925	3272	2768	3037	3049	4193	4381	5847	1825	1882	2357
MAMDC4_+_139746833.23-P1P2|MAMDC4_+_139746861.23-P1P2++MAMDC4_+_139746833.23-P1P2|MAMDC4_+_139746861.23-P1P2	MAMDC4	2368	2544	2177	2576	3620	2880	3162	4037	3635	3440	3923	3925	6584	2235	2151	2193
PDZD8_-_119134955.23-P1P2|PDZD8_-_119134876.23-P1P2++PDZD8_-_119134955.23-P1P2|PDZD8_-_119134876.23-P1P2	PDZD8	1116	1615	1158	951	1374	1139	1621	1688	1139	1476	1847	1899	3138	832	973	1131
non-targeting_03291|non-targeting_00453++non-targeting_03291|non-targeting_00453	non-targeting	1821	1851	1626	1821	2663	1784	2475	2470	2886	2643	3034	2385	4960	1315	1429	1741
non-targeting_03396|non-targeting_03014++non-targeting_03396|non-targeting_03014	non-targeting	623	642	593	1066	1066	1077	946	754	1260	1099	1257	1460	1598	557	416	680
SHH_+_155604977.23-P1|SHH_-_155605072.23-P1++SHH_+_155604977.23-P1|SHH_-_155605072.23-P1	SHH	879	977	780	1018	1100	1405	1509	1375	1166	1441	2139	1988	3330	762	613	959
SLC4A9_-_139739797.23-P1P2|SLC4A9_+_139739817.23-P1P2++SLC4A9_-_139739797.23-P1P2|SLC4A9_+_139739817.23-P1P2	SLC4A9	838	1176	826	706	1303	1234	1052	1292	1472	1183	1844	1899	2458	769	695	798
CPLX2_+_175223777.23-P2|CPLX2_-_175223787.23-P2++CPLX2_+_175223777.23-P2|CPLX2_-_175223787.23-P2	CPLX2	942	971	983	1270	1402	1116	1407	1099	1556	1212	1421	1714	2745	720	948	808
CRB3_-_6464312.23-P1P2|CRB3_-_6464316.23-P1P2++CRB3_-_6464312.23-P1P2|CRB3_-_6464316.23-P1P2	CRB3	1226	1347	1288	1569	1373	1986	1918	2380	2177	1808	2336	2239	3781	1145	1855	1389
ARFGEF2_+_47538281.23-P1P2|ARFGEF2_-_47538312.23-P1P2++ARFGEF2_+_47538281.23-P1P2|ARFGEF2_-_47538312.23-P1P2	ARFGEF2	437	656	337	516	692	464	975	1217	379	627	534	549	1478	360	243	129
EIF3J_+_44829331.23-P1P2|EIF3J_-_44829398.23-P1P2++EIF3J_+_44829331.23-P1P2|EIF3J_-_44829398.23-P1P2	EIF3J	1022	26	163	348	82	209	116	132	71	140	82	66	225	782	1106	900
