target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
LINS,-0.25258818332630256,0.02256961646840766,sensitivity_hit,1.6464758209430368,-0.37622883402983176,0.35794662116045106,target_non_hit,0.44618173275249484
LIPJ,0.4931089598473163,0.10718768923151333,resistance_hit,0.9698550915633909,-0.24674889801000316,0.10240391756548807,target_non_hit,0.9896834286675162
LIX1L,0.39925953952091203,0.0074831542644657545,resistance_hit,2.1259153017480106,-0.18445704836890675,0.48457627396645997,target_non_hit,0.31463785379260323
LMAN2L,0.2731367067386614,0.06358345566401123,resistance_hit,1.1966558725359326,-0.7180023338247936,0.17618247816686144,essential_hit,0.7540372855597937
LMBRD2,-0.33075000732762305,0.09411180437931775,sensitivity_hit,1.026355899896069,-0.25642583554081294,0.5589920248085016,target_non_hit,0.2525943881893681
LOC100130370,0.30333169710714314,0.007482964850788647,resistance_hit,2.125926294753497,-0.263436986795573,0.02842211164126264,target_non_hit,1.5463436589884245
LOC100130705,0.23367139313309648,0.04582629591030711,resistance_hit,1.3388852448875654,-0.16486044852601336,0.39372470594271014,target_non_hit,0.40480733268768987
LOC283710,0.21428507673799507,0.036528197116891196,resistance_hit,1.4373717622668065,0.04295780623921071,0.5824561534234132,target_non_hit,0.2347367622212316
LOC388282,0.3723837869771943,0.09913542092948956,resistance_hit,1.003771145053447,-0.15401348810396462,0.6020151951737513,target_non_hit,0.22039254678731213
LOC388813,0.6785435275234637,0.0009284802052741777,resistance_hit,3.0322273507630095,-0.13510533620365703,0.5221438108688246,target_non_hit,0.2822098654555824
LOC653486,0.24166983425713245,0.01671885463227215,resistance_hit,1.7767934783277628,-0.028853927050318678,0.7132714828706473,target_non_hit,0.146745139051645
LOC729159,0.44643394742837206,0.0053820669334107354,resistance_hit,2.26905090548899,-0.35739531458045953,0.08323927177779156,target_non_hit,1.0796717278870103
LOC729574,0.4836124071722051,0.03917969231748356,resistance_hit,1.4069389788911484,-0.011255898675542664,0.44672410436013676,target_non_hit,0.34996061321393446
LONP1,-0.9449504554072151,0.031225073158818454,sensitivity_hit,1.5054965354219154,-2.6189686311214015,0.0009319558486373706,essential_hit,3.030604661838456
LOXL1,-0.381022057769294,0.007151647415943725,sensitivity_hit,2.1455939048783312,0.43104533224248964,0.012944604045952818,up_hit,1.8879112293764826
LPGAT1,-0.3176587533510027,0.07183644004571678,sensitivity_hit,1.1436551978720602,0.39328460422195216,0.004330409030746721,up_hit,2.363471080227133
LPHN2,0.2934743090377515,0.015533685039609061,resistance_hit,1.8087255048301596,-0.12606290905472792,0.48506429569770915,target_non_hit,0.31420069146780505
LPP,-0.6678537896412309,0.21228869950739299,sensitivity_hit,0.6730731234609605,0.07701438029017431,0.1928817033462059,target_non_hit,0.7147089673413473
LRBA,-0.7064119801614378,0.008649926742581608,sensitivity_hit,2.0629875706192657,-0.12200174899965255,0.9934060596873591,target_non_hit,0.002873195175549284
LRP11,-0.3514081084192571,0.11106137953356737,sensitivity_hit,0.9544369363010992,0.13892705593577034,0.05856592188901125,target_non_hit,1.232355016073815
LRP2BP,-0.4954858187044153,0.018498927683190412,sensitivity_hit,1.7328534453683655,0.29534454931066867,0.040923308637358866,target_non_hit,1.3880292609604001
LRPPRC,-0.799759887345626,0.11183484184222978,sensitivity_hit,0.9514228720983673,-1.6652629046038592,0.00980653850466416,essential_hit,2.008484262101182
LRR1,-0.5046554462680701,0.08767674597265082,sensitivity_hit,1.0571155769293479,-2.701155659827228,0.000202189722076206,essential_hit,3.69424092470465
LRRC10B,-0.4573138338006298,0.22197393269355395,sensitivity_hit,0.6536980235315714,-0.05249187978592884,0.853260418638869,target_non_hit,0.06891840011378866
LRRC25,-0.37630401048361684,0.03892730546928579,sensitivity_hit,1.4097456569117022,0.40189917878348946,0.045017252362679276,up_hit,1.3466210157802363
LRRC37B,0.374947031717843,0.09806625241297279,resistance_hit,1.0084804208809044,-0.03812591030811804,0.9851008878811066,target_non_hit,0.0065192894959446
LRRC4C,0.20462671831699425,0.029377138085253128,resistance_hit,1.5319905153640905,0.16146412911516275,0.18782024229842081,target_non_hit,0.7262576035248736
LRRC53,0.3898556845761673,0.10450904913605917,resistance_hit,0.9808461036227037,-0.09394895022935683,0.7321297991156164,target_non_hit,0.13541191615148687
LRRC8D,-0.2666911393136915,0.0425741545457834,sensitivity_hit,1.370853967669453,0.08334155956180744,0.18988713114116568,target_non_hit,0.721504466878348
LSM10,-0.7670071836699678,0.010323044351073049,sensitivity_hit,1.986192206788545,-2.7572739796727332,1.420382981241821e-07,essential_hit,6.8475945399729605
LSM11,-0.5182063193296534,0.05301332264755302,sensitivity_hit,1.2756149752062111,-2.280533495576759,0.009310321983679435,essential_hit,2.0310352993283023
LSM12,-0.3638570400317086,0.09991481807229538,sensitivity_hit,1.00037009806232,0.52834179061934,0.002584234018701143,up_hit,2.587668160789696
