,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
FAM117A,FAM117A,0.20559931833301892,0.012070637224388293,resistance_hit,1.9182698023359042,-0.24368283844994623,0.023302871420502407,essential_hit,1.632590561152311
FAM118B,FAM118B,0.15843092344688378,0.010194591982460983,resistance_hit,1.991630151279828,-0.23720248135540226,0.16484356889485546,target_non_hit,0.7829279914869074
FAM122B,FAM122B,-0.23158071409234005,0.0590665613765762,sensitivity_hit,1.2286583113268592,0.04092919502141701,0.7183145935785229,target_non_hit,0.14368531016945552
FAM127B,FAM127B,-0.25980360969161254,0.016884389255313326,sensitivity_hit,1.7725146441102648,0.2077106857998435,0.017915955562060902,up_hit,1.746760023430725
FAM131B,FAM131B,-0.2685237793270219,0.006976905064423193,sensitivity_hit,2.1563371864773067,0.12687004080295208,0.09033455617956417,target_non_hit,1.0441460848219095
FAM135B,FAM135B,-0.17281282887550584,0.0008132109171992173,sensitivity_hit,3.089796799675474,0.08321476544187689,0.012174720726821043,target_non_hit,1.9145409921824565
FAM153A,FAM153A,-0.18824223974799756,0.005403033407439125,sensitivity_hit,2.267362347170852,0.14482221177270502,0.0093957848340049,up_hit,2.0270669372407832
FAM160B2,FAM160B2,0.22296196488776943,0.01314664208727335,resistance_hit,1.88118516042094,-0.22605582241713762,0.03757966627433023,essential_hit,1.4250470809640827
FAM163B,FAM163B,0.36744316129665994,0.1526841730944227,resistance_hit,0.8162059786213354,-0.2844922087719069,0.030151585188225926,essential_hit,1.5206898503430004
FAM200B,FAM200B,0.24723983503169253,0.035950683675336374,resistance_hit,1.4442928462100904,-0.15656817513067978,0.22984469348444733,target_non_hit,0.638565518526793
FAM20C,FAM20C,-0.21777196719385353,0.03896706087499028,sensitivity_hit,1.4093023500171804,0.14667022234247687,0.12743225646104975,target_non_hit,0.8947206267110963
FAM213A,FAM213A,-0.20529279276985424,0.02339110450112423,sensitivity_hit,1.6309492708193896,0.1651915099198741,0.2531312830373042,target_non_hit,0.5966541795713667
FAM3D,FAM3D,-0.28003652200041795,0.05956959947016834,sensitivity_hit,1.2249753199696547,0.05075656707412494,0.29462664973351294,target_non_hit,0.5307279726707411
FAM46C,FAM46C,0.340880415986397,0.12525617644975356,resistance_hit,0.9022008496370888,-0.2280514327040827,0.12610536215832188,target_non_hit,0.8992664462876735
FAM47B,FAM47B,0.2220867654201788,0.024487096945814385,resistance_hit,1.6110626993647137,-0.2148308693134394,0.20742256442247795,target_non_hit,0.6831440007380764
FAM50A,FAM50A,0.12892889223414392,0.0022751622023226225,resistance_hit,2.64298763590245,-0.03008545379846576,0.9738781976678831,target_non_hit,0.0114953566619884
FAM69A,FAM69A,-0.23416520598606402,0.008386541123093503,sensitivity_hit,2.076417119133532,0.17164371293116432,0.07722565235291048,target_non_hit,1.1122384143690478
FAM72A,FAM72A,-0.30096087504413926,0.13996330201161092,sensitivity_hit,0.853985820200951,0.26867617211865163,0.21323744140174303,target_non_hit,0.6711365371383081
